major,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
t1,0.74140236,0.608449689,0.752071217,0.762301659,0.588053826,0.523694084,0.767926145,0.488831641,0.817226402,0.461408018,0.793618774,0.760018474,0.76730399,0.714851025,0.68143388,0.752604025,0.648042605,0.736244169,0.723152367,0.637180389
t2,0.78334044,0.612719699,0.646596997,0.709114075,0.640909599,0.554047462,0.79515666,0.637569334,0.829578641,0.50133252,0.841113088,0.717354059,0.821715771,0.661139561,0.736706665,0.77471642,0.653135642,0.649163135,0.788986769,0.664984024
t3,0.804188752,0.759130318,0.769385482,0.743509628,0.691851022,0.633144548,0.809576813,0.59952528,0.837556368,0.573206088,0.802098826,0.720307682,0.816296742,0.687899962,0.808510318,0.790799624,0.508100867,0.632999423,0.791040483,0.69780764
t4,0.751506529,0.837060602,0.81442025,0.809540206,0.73017554,0.577139779,0.762849462,0.228657364,0.821098001,0.184035775,0.638874882,0.634140283,0.856083168,0.798364902,0.729086956,0.797695332,0.191006364,0.779134065,0.757950777,0.724493316
t5,0.636724736,0.862193656,0.807381467,0.79210711,0.623681165,0.769808674,0.577878883,0.174598384,0.819067304,0.731893667,0.658233019,0.730752791,0.814876577,0.722227244,0.658112558,0.799610397,0.166625926,0.772036084,0.71645675,0.807949774
t6,0.623117126,0.788872695,0.702011315,0.718914254,0.609360144,0.709748399,0.589339819,0.553638387,0.828819941,0.745596523,0.631299921,0.698164966,0.693917281,0.656994634,0.554017548,0.772543602,0.178153677,0.721276377,0.554369706,0.718386727
t7,0.600588406,0.690999295,0.566333948,0.511471727,0.502745957,0.571856533,0.415710959,0.429603,0.79678954,0.78249764,0.517057404,0.539665985,0.532839138,0.712842292,0.414854372,0.752455171,0.247072775,0.52205767,0.456142018,0.647316212
t8,0.663714503,0.612479057,0.383701268,0.439864073,0.470806825,0.332948738,0.200510366,0.406038252,0.781828023,0.654978373,0.481912705,0.406327008,0.556082926,0.495375051,0.308018126,0.6157672,0.166466424,0.396394852,0.343266909,0.593493815
t9,0.540829169,0.590315501,0.270633762,0.381250486,0.404699659,0.269248124,0.126354445,0.220611627,0.638743088,0.527774581,0.34190639,0.354513552,0.54424982,0.521332303,0.191861619,0.407916791,0.08235938,0.263182231,0.218662165,0.416021592
t10,0.481145517,0.5561534,0.297426784,0.142465973,0.176625054,0.208610449,0.12616379,0.113413997,0.547537596,0.473715484,0.156333411,0.263221522,0.30626893,0.302908991,0.08981268,0.324883267,0.073634697,0.13473256,0.092810423,0.492953567
t11,0.469343956,0.459202924,0.395037372,0.177332314,0.16693927,0.099477842,0.13695763,0.319848795,0.40629317,0.354954934,0.07590045,0.24774238,0.191547459,0.256235848,0.06971645,0.165138434,0.064203298,0.13889082,0.015319939,0.432177749
t12,0.40763986,0.41411424,0.312264814,0.151157912,0.140232541,0.14006076,0.246136302,0.241481319,0.393714778,0.25126932,0.101077541,0.399572736,0.277364528,0.226349429,0.044148389,0.060115942,0.108985455,0.196386305,0.003176989,0.333547092
t13,0.425424832,0.4297666,0.423311139,0.165122029,0.161889149,0.202983531,0.250591005,0.123719265,0.359427433,0.336594536,0.143317864,0.434908441,0.345995652,0.16423305,0.018159245,0.085300773,0.004778012,0.225642207,0.003489567,0.390797454
t14,0.491201928,0.505515253,0.461861705,0.16268192,0.275646543,0.29527514,0.458195848,0.113025919,0.477234745,0.364932166,0.170767641,0.349324721,0.469871214,0.147905458,0.039371932,0.156559242,0.077135451,0.304797422,0.027561381,0.443812651
t15,0.525869714,0.578881855,0.492800255,0.265640266,0.19575787,0.332800486,0.506599323,0.155554463,0.451069083,0.304373355,0.235332173,0.291540431,0.5658389,0.363246956,0.076416048,0.196227549,0.195672172,0.353659765,0.098054486,0.573430444
t16,0.619807001,0.637681647,0.524777568,0.249622905,0.175255984,0.354566406,0.561597931,0.282189081,0.525673967,0.446222075,0.192318517,0.286424525,0.617533043,0.465580796,0.143409249,0.260178471,0.162022066,0.346616713,0.266915056,0.617846036
t17,0.638085165,0.642774502,0.483420258,0.220315248,0.178420953,0.275724526,0.406723483,0.270692786,0.446991394,0.415429461,0.092352736,0.28706289,0.519721478,0.283704094,0.229031092,0.223171675,0.235701131,0.490847375,0.167055096,0.527533292
t18,0.565411804,0.545300217,0.550637871,0.227234504,0.19132139,0.132035109,0.349438494,0.251259705,0.322312937,0.36708031,0.064930736,0.170409024,0.557325323,0.225519436,0.231684768,0.192374399,0.25541374,0.505779715,0.325903289,0.334921332
t19,0.521852127,0.486398734,0.457492178,0.081129322,0.109661592,0.110374152,0.219212135,0.114013201,0.290157693,0.368843538,0.055162292,0.358664021,0.531483676,0.38162073,0.14670402,0.18535821,0.255741803,0.521518889,0.132067815,0.300825737
t20,0.44240745,0.502006143,0.347394999,0.042919699,0.116252274,0.210252746,0.303432655,0.069193047,0.220480839,0.356802909,0.091961165,0.359393534,0.499416807,0.309455035,0.155267187,0.220566676,0.135627066,0.328479561,0.144072382,0.22005905
t21,0.412587495,0.415378837,0.352543153,0.091260822,0.137512753,0.168387676,0.376746668,0.135649616,0.093234342,0.357911151,0.106080145,0.451769758,0.498488064,0.3111653,0.231480975,0.229940074,0.112567124,0.277747413,0.143668574,0.114275803
t22,0.18310841,0.206139494,0.407186078,0.064292775,0.120242706,0.152505978,0.412142509,0.106337377,0.104388183,0.381572904,0.111752787,0.428070936,0.434478515,0.19428244,0.155904146,0.331646434,0.183856456,0.33253729,0.132873278,0.138331091
t23,0.126057819,0.130430296,0.213986181,0.076404274,0.060528876,0.166295707,0.369048681,0.075283445,0.078021331,0.349555417,0.102907249,0.399969271,0.411537822,0.159107113,0.144439425,0.315300061,0.119172976,0.305478473,0.106841104,0.102190173
t24,0.201846243,0.080536242,0.164397847,0.085551223,0.02473722,0.125471389,0.382318327,0.064935416,0.048971587,0.389868724,0.066415495,0.383937957,0.395034427,0.096739208,0.309658488,0.380964771,0.107061707,0.377818649,0.094858098,0.075774555
